motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,log2FC,qvalues,-log10-qvalues
1344,77401,443732,19961486,INSM1,0.7811326955489516,1.2378179984344436e-20,-0.35636044671338013,2.9333166013320425e-20,19.532641059831956
875,62058,444201,19976829,IRF/1,0.6340993356095235,5.452812128422472e-47,-0.657219229656154,2.2613132650222605e-46,45.645639269655305
16055,384788,429021,19654099,IRF/2,1.9114519213837409,1e-300,0.934668912621643,2.563636363636364e-299,298.5911435768389
187,10766,444889,20028121,IRF/3,0.7819442127765557,0.0006440795633299029,-0.35486241167899735,0.0008732232541299646,3.0588747074500118
165,7796,444911,20031091,IRF/4,0.9528917662283299,0.5642165916994332,-0.06961573929708442,0.5999085982430284,0.22191491345387518
391,22745,444685,20016142,KAISO,0.7737821543351038,1.836114856315714e-07,-0.3700006384623094,2.925335533791138e-07,6.533824313473545
12433,436902,432643,19601985,KLF/SP/1,1.2893246090025605,3.102841861441758e-155,0.3666155320010502,4.166673356793218e-154,153.38021054439577
70352,2158834,374724,17880053,KLF/SP/2,1.5549430641510706,1e-300,0.6368617555515558,2.563636363636364e-299,298.5911435768389
560,31496,444516,20007391,KLF/SP/3,0.8002684345315959,7.039253570252645e-08,-0.32144408962572957,1.1474390212781767e-07,6.940270385029114
944,50233,444132,19988654,LEF1,0.8457740646849621,1.9040580246163903e-07,-0.2416557734944806,3.0165413648416967e-07,6.520490714969052
44,6413,445032,20032474,LIN54,0.3088408821650985,1.5960909910675616e-21,-1.695064355905183,3.880152236905624e-21,20.4111512346246
1796,104429,443280,19934458,MAF,0.7734130717772101,3.501347811785091e-29,-0.3706889466693999,9.973536191145411e-29,28.001150832058077
662,42317,444414,19996570,MBD2,0.703899884675243,2.8131870505243578e-21,-0.5065578452202134,6.780502121776657e-21,20.168738143796322
689,45929,444387,19992958,MECP2,0.6749132278644495,1.1943063364792035e-27,-0.5672260649857168,3.269848416379955e-27,26.48547237989495
253,20153,444823,20018734,MEF2,0.5649762483340517,3.953839414835936e-23,-0.823737877148826,9.955202812354767e-23,22.00194988788275
866,55738,444210,19983149,MFZ1,0.6989435577469849,1.968413260078154e-28,-0.5167521374930545,5.442083719039602e-28,27.26423478147628
847,58411,444229,19980476,MIES,0.6522103593277815,6.7835199589918746e-40,-0.6165907386949965,2.3328690590679374e-39,38.632109636911416
474,22506,444602,20016381,MTF1,0.9481873873659002,0.25773391391746764,-0.07675589218973726,0.28501263084418554,0.5451358930287538
69,3059,445007,20035828,MYB/1,1.0155704740033573,0.8541358151370928,0.022290356785585098,0.8790740871118985,0.055974521663450294
88,4013,444988,20034874,MYB/2,0.987306118437236,0.95728431937293,-0.01843062714716573,0.9710581944718211,0.01275474251149454
60,2981,445016,20035906,MYB/3,0.9061970291445054,0.493704954655092,-0.14210333372654235,0.5273666561088483,0.277887332877285
72,3942,445004,20034945,MYB/4,0.8223186049859118,0.10413857096807794,-0.28223062460975923,0.12035687300409006,0.9195291042047227
481,45428,444595,19993459,MYB/5,0.47615113232268064,3.444150565168834e-75,-1.0705085313420988,2.0664903391013005e-74,73.68476662071608
3381,124709,441695,19914178,MZF1,1.2223266358361122,9.032983877492706e-29,0.28962986038773636,2.547301453452943e-28,27.59391965659736
1620,58172,443456,19980715,NFAC/2,1.2547624367911019,3.681741301314216e-18,0.3274142456853293,8.240087674369912e-18,17.084068167393603
411,45727,444665,19993160,NFAT/1,0.4041267578457575,2.0478438020602443e-101,-1.3071202171760474,1.4437298804524722e-100,99.84051405496766
938,55172,444138,19983715,NFAT/2,0.7649664806296034,2.367603955950601e-17,-0.38653156183882076,5.1358793506005346e-17,16.289385187038867
159,7855,444917,20031032,NFAT/3,0.9113291448818667,0.26626013496018786,-0.13395588836099365,0.29216092629872753,0.5343778672092253
124,10284,444952,20028603,NFAT/4,0.5427466008264303,8.75825540467814e-14,-0.881649309489059,1.7151583500828025e-13,12.76569577801626
4672,332976,440404,19705911,NFI/1,0.6278200257651434,5.810914198928489e-252,-0.6715770471535657,1.2605213877675646e-250,249.89944978107786
451,80085,444625,19958802,NFI/2,0.2527935295063305,5.320127178610388e-306,-1.9839685580677444,3.750689660920324e-304,303.42588886870067
2603,188165,442473,19850722,NFI/3,0.6206186977845205,8.568052434735438e-150,-0.688220932350976,9.29304148690536e-149,148.03184212402576
913,84396,444163,19954491,NFKB/1,0.4860122216773837,1.8695500933171204e-132,-1.040935501361544,1.6475410197357123e-131,130.78316376373056
309,20731,444767,20018156,NFKB/2,0.6708566672816071,1.414860770590136e-13,-0.575923536347069,2.7516602572856437e-13,12.560405188712148
507,35511,444569,20003376,NFKB/3,0.6424053949663744,2.3632115476670567e-26,-0.6384440861252986,6.346911013734381e-26,25.19743759062807
345,30929,444731,20007958,NFY,0.5018322649637283,2.4437531686260448e-46,-0.9947228640630924,9.987512950036879e-46,45.00054264456146
3021,141805,442055,19897082,NR/1,0.95889767072859,0.022662412938771956,-0.06055122939299053,0.028277878091741995,1.5485531821319123
164,8746,444912,20030141,NR/10,0.844197889299533,0.03190952230873336,-0.24434687267645996,0.03929469559416073,1.4056660712445657
1559,100626,443517,19938261,NR/11,0.6964868347900421,7.941933148371533e-51,-0.5218320120717842,3.4994142935012066e-50,49.45600463861729
3642,158913,441434,19879974,NR/12,1.0321208392650267,0.0614373618051275,0.04561188936833542,0.07279552953380654,1.1378952904453845
554,31858,444522,20007029,NR/13,0.7826734444676807,3.3218394320531122e-09,-0.3535175987584058,5.643124818307095e-09,8.248480343615746
263,19760,444813,20019127,NR/14,0.5990133088133629,3.5670845132906954e-19,-0.7393400378737367,8.2452281372784925e-19,18.083797323355977
1699,58936,443377,19979951,NR/15,1.2990742678106129,2.0937553297641272e-24,0.3774839117244073,5.416871587096183e-24,23.266251459719527
3071,144600,442005,19894287,NR/16,0.9559005692233913,0.013430639852276795,-0.06506753499583831,0.016984037840098908,1.7699590512415015
1890,95452,443186,19943435,NR/17,0.8910266646836567,4.7479249838890913e-07,-0.16645948869430116,7.397319588158695e-07,6.130925617964909
2888,113921,442188,19924966,NR/18,1.1423101525821249,5.371537752877172e-12,0.19195441501033889,9.90048134844028e-12,11.004343690060065
2033,135309,443043,19903578,NR/19,0.6749878728514875,4.405516131956342e-78,-0.5670665126263927,2.8235353391174738e-77,76.54920677230193
161,15218,444915,20023669,NR/2,0.47614026126839126,3.11735150325008e-26,-1.0705414700333833,8.293331357703043e-26,25.081270982158127
611,34968,444465,20003919,NR/20,0.7864080247982079,1.0598103602810092e-09,-0.34665005134021565,1.8563137987530721e-09,8.73134860702476
8326,327683,436750,19711204,NR/3,1.1467341195091412,4.7302441062978e-33,0.19753092846714038,1.4658558659076696e-32,31.833908730730595
236,14842,444840,20024045,NR/4,0.7157602173763504,9.098888714280749e-08,-0.4824517352471121,1.466220924244098e-07,6.833800587026831
237,10945,444839,20027942,NR/5,0.9749134216149864,0.7212587802220416,-0.036653990643337346,0.7505349668731208,0.12462906948827929
82,6015,444994,20032872,NR/6,0.6137157678844324,2.4635433647446398e-06,-0.7043574445120794,3.7552390749080453e-06,5.425362408697588
960,57184,444116,19981703,NR/7,0.7553231264317313,2.338779985351168e-19,-0.4048341349896715,5.450710379082887e-19,18.263546893391077
237,11037,444839,20027850,NR/8,0.9667824938017147,0.6279985913335981,-0.048736745422793715,0.6583479656359653,0.18154450211262038
140,7639,444936,20031248,NR/9,0.8250912610825225,0.023972120149985912,-0.27737439415978,0.0297803430938151,1.5260703031287606
33,4831,445043,20034056,NR2E3,0.30749907330466636,1.5669173941648488e-16,-1.7013460322103686,3.249049302606525e-16,15.488243698415713
2433,120306,442643,19918581,NRF1,0.9100381878609787,3.4041316678807393e-06,-0.1360010086071283,5.106197501821109e-06,5.291902391197998
468,26719,444608,20012168,OCT4+SOX2,0.7883925656486449,1.3673678741696953e-07,-0.3430139227073861,2.190896252930989e-07,6.659378187407972
807,56935,444269,19981952,OSR2,0.6375086925447899,1.9743002864694447e-42,-0.6494830813774143,7.230554295901082e-42,41.14082840831767
52,3804,445024,20035083,OVOL1,0.6154185013720027,0.00020922253984409557,-0.7003602787160434,0.0002935361006767908,3.532338479218477
1233,56913,443843,19981974,P53-like/1,0.9753502789597205,0.3928077444671173,-0.036007665805132996,0.42769028548157173,0.36887061415670763
147,6606,444929,20032281,P53-like/2,1.0018863402159446,0.9666959669839787,0.0027188501422333484,0.9744857285680175,0.011224516781910089
237,9621,444839,20029266,P53-like/3,1.1091500671822088,0.11982787702668601,0.14945457427571632,0.13736366390864005,0.8621281337318
121,8335,444955,20030552,PAX-halfsite,0.6535165532433849,8.054356672586979e-07,-0.613704315668966,1.2479827371810593e-06,5.903791422024477
598,31123,444478,20007764,PAX/1,0.8649042226563574,0.0003620742794446429,-0.20938771375549917,0.0004980729112360454,3.3027070776625576
3003,116422,442073,19922465,PAX/2,1.1624368213508822,2.0970553465368086e-15,0.21715230761794257,4.224068626595572e-15,14.374269034624419
2851,90902,442225,19947985,PLAG1,1.4147494088178427,9.491825937603898e-67,0.5005465345609916,5.147490220008267e-66,65.28840446984844
327,33957,444749,20004930,POU/1,0.433152169356415,1.4285650443637284e-67,-1.2070541521306144,8.22153760225656e-67,66.08504695256607
191,16444,444885,20022443,POU/2,0.5227513969449882,3.73751794863022e-23,-0.935803082763251,9.495315869492992e-23,22.02249058352348
345,28694,444731,20010193,POU/3,0.5409808295791816,3.740153941546965e-36,-0.886350623868681,1.1850824848497124e-35,34.92625142056665
1109,59753,443967,19979134,PRDM1,0.8352140682606342,1.1522852972210484e-09,-0.2597820821666863,2.0058299618292323e-09,8.697705885756903
204,15866,444872,20023021,PRDM14,0.5787050177154763,2.437217775358072e-17,-0.7890999417039334,5.2465298675647044e-17,16.28012785043289
