motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,qvalues,-log10-qvalues,log2FC
61,2981,480920,20035906,MYB/3,0.8525188806325392,0.23076461252871755,0.25223108811278433,0.5982013865822853,-0.2301963092041574
72,3942,480909,20034945,MYB/4,0.7609237267199214,0.02149821814494322,0.02579786177393186,1.5884162885431723,-0.39417624641185617
492,45428,480489,19993459,MYB/5,0.4506568455047071,3.1233423763032605e-90,1.797515408403101e-89,88.74532737813242,-1.149898789402935
3663,124709,477318,19914178,MZF1,1.2254446336817464,1.0919808623964522e-31,2.9896951766582473e-31,30.524373089215306,0.2933053038561697
1756,58172,479225,19980715,NFAC/2,1.2585836199443403,5.1575226566658444e-20,1.085389096402812e-19,18.964414545568296,0.33180107193898
423,45727,480558,19993160,NFAT/1,0.3848604539440846,7.600791686098265e-118,5.103388703523121e-117,116.29214135203496,-1.37759265920203
954,55172,480027,19983715,NFAT/2,0.719847016081964,3.371273829231517e-26,8.339466840730594e-26,25.078861713814323,-0.4742377613755922
161,7855,480820,20031032,NFAT/3,0.8538871683005144,0.04615793537443762,0.05401053018917597,1.2675215594878617,-0.22788264856352616
128,10284,480853,20028603,NFAT/4,0.5184253505004177,2.39798715348855e-16,4.696058175581745e-16,15.328266531611883,-0.947791828541698
4788,332976,476193,19705911,NFI/1,0.5950517268262514,1e-300,0.0,400.0,-0.7489130100095321
460,80085,480521,19958802,NFI/2,0.23857709676229988,1e-300,0.0,400.0,-2.067472542941492
2667,188165,478314,19850722,NFI/3,0.5882302920419233,6.987575160794882e-193,8.567374762365898e-192,191.06715223535576,-0.7655470144138673
940,84396,480041,19954491,NFKB/1,0.4629864837961627,1.073325756551544e-157,9.458683229610482e-157,156.02416931876922,-1.1109580181294494
318,20731,480663,20018156,NFKB/2,0.6388372698096048,1.928359733565327e-17,3.8295594708832555e-17,16.41685118174109,-0.6464796127565348
525,35511,480456,20003376,NFKB/3,0.6155255405058866,8.040146878916326e-33,2.2228641371121607e-32,31.65308708084831,-0.7001093740075094
349,30929,480632,20007958,NFY,0.46973144415001394,3.111243143683791e-57,1.2715515456794625e-56,55.89566602986467,-1.0900919230483221
3293,141805,477688,19897082,NR/1,0.9672644909369301,0.06001493223533965,0.06936152004248271,1.1588813979593409,-0.04801765752412163
171,8746,480810,20030141,NR/10,0.8145113720242643,0.006994079773185217,0.008650572351044874,2.0629551571967766,-0.29599325341283766
1617,100626,479364,19938261,NR/11,0.6683772694679373,9.112081778485718e-66,4.355266205988089e-65,64.36098529455796,-0.5812654245994255
3846,158913,477135,19879974,NR/12,1.0083803876443933,0.6101089242755903,0.6256389696207871,0.2036762078955053,0.012039964083258801
586,31858,480395,20007029,NR/13,0.7660607849694618,2.8817133603800662e-11,4.895440768838426e-11,10.310208199702211,-0.38446922402334843
268,19760,480713,20019127,NR/14,0.5648161699518691,2.048266084889888e-24,4.773644925115276e-24,23.32114988796816,-0.8241467032056058
